HP1371 83606.0000      
HP1372 83528.7000 19.81 
HP1373 83476.6032 20.15
HP1374 84075.2375 19.53
HP1375 83451,5118 20,2703
HP1376 83762.5800 00.0000
HP1520 83648.0820 20.24
HP1521 83685.7386 20.24
HP1530 84070.1725 19.3469
HP1531 83903.2563 20.3291

HP1522 90306.7250 19.8616
HP1523 90268.0200 20.9254
HP1526 90077.3200 20.6039
HP1532 90279.1563 19.45
HP1533 90188.3048 19.90
HP1534 90599.4550 19.4685
HP1535 90328.7356 20.2973
HP1536 90525.5300 19.91
HP1537 89803.4700 20.51
HP1538 89892.1913 19.41
HP1539 90699.2038 19.78
HP1711 89579.4113 19.39
HP1712 89534.5696 18.95
HP1713 89685.9924 18.3892
HP1714 89889.1838 18.1998
HP1715 89878.6575 18.2978
HP1716 89414.0200 19.3012
HP1717 89954.0200 19.2200
HP1718 89702.5200 19.1194
HP1719 90136.8013 19.1723
HP1720 90773.3888 20.0206
HP1721 90289.1813 19.28
HP1722 90497.7013 18.8573
HP1723 90062.9936 19.38
HP1724 90242.5650 18.9553
HP1725 91268.6238 18.07
HP1726 91206.5200 18.8010
HP1727 90580.3700 18.55
HP1728 91617.4938 18.01
HP1729 90757.3488 18.07
HP1730 90798.9525 18.19
HP1821 90570.0200 19.00
HP1822 90672.6900 17.93
HP1823 91389.0200 19.13
HP1824 91033.5200 18.64
HP1825 90569.0200 18,44
HP1826 91240.5600 18,87
HP1827 90106.6670 20,09
HP1828 91143.5600 18.94
HP1829 90756.3000 18.19
HP1830 90690.2450 18.1924
HP1831 90712.7866 18.23
HP1832 90873.7360 18.8143
HP1833 91048.5750 18.8143
HP1834 90783.5054 18.2725
HP1835 90513.2508 18.4534
HP1836 90965.0000 19.1521
HP1837 91071.6325 18.4000
HP1838 91284.6425 18.7812
HP1839 91185.3950 18.6990
HP1840 91105.6963 18.4158
HP1841 91218.9788 18.2837
HP1842 91185.3950 18.5944
HP1843 90537.7980 18.6369
HP1844 91149.3050 18.1073
HP1845 90542.8120 18.3612
HP1846 90711.7838 18.1151
HP1847 90586.4338 18.1703
HP1848 90658.6354 18.4996
HP1849 90394.9204 18.2666
HP1850 89909.0638 19.2637
HP1851 90712.3066 18.3886
HP1852 89822.3216 19.5739 
HP1853 89970.0000 20.1195
HP1854 89664.8606 19.2601
HP1855 90133.1682 19.1599 
HP1856 89695.9474 19.4314

HP1540 61492.3475 23.7323
HP1556 61180.3266 24.5818
HP1557 61224.0000 24.3062 
HP1558 61618.1613 24.3678
HP1559 61450.1900 24.3860
HP1560 61535.3975 24.4895 
HP1561 61593.0988 24.0415
HP1564 61473.2400 24.3308
HP1565 61302.1300 24.5447 
HP1567 61522.4225 23.6927
HP1568 61453.2500 24.7175 
HP1569 61548.4875 25.1689

HP9901 102501.2900 15.6082
HP9903 102501.2900 15.6082
HP9902 101901.6900 15.2346
HP9904 102454.6900 15.6599
HP9905 101750.6900 15.2668


